Показатели;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036
Продукция растениеводства;18658.7;22696.399999999998;26640.699999999997;24266.5;32505.6;35861.1;46279.0;41157.7;30037.699999999997;48588.1;34963.9;48466.399999999994;51440.399999999994;65648.8;69282.8;64303.5;65055.1;71506.4;86107.2;;;;;;;;;;;;;;;;
Продукция растениеводства прогноз;;;;;;;;;;;;;;;;64725,6016;65213,2578;69524,0703;85769,0;75948,3281;100068,4453;110785,5078;121098,375;123150,0703;121977,0781;;;;;;;;;;
Продукция сельского хозяйства;42880.7;49105.6;55276.1;60351.2;70904.4;80480.7;102814.3;100724.5;86171.7;107122.3;102932.4;119796.6;128186.1;149964.5;158708.8;157270.1;157486.1;167120.5;189571.6;;;;;;;;;;;;;;;;
Продукция сельского хозяйства прогноз;;;;;;;;;;;;;;;;159723,6562;165660,2656;175820,1406;192116,9062;206523,3594;226282,6406;242742,1875;251670,5312;262842,1562;283433,3125;;;;;;;;;;
Продукция животноводства;25338.3;27930.1;30695.1;36084.7;41133.299999999996;44619.6;56535.299999999996;59566.799999999996;56134.1;58534.2;67968.4;71330.3;76745.7;84315.7;89426.0;92966.59999999999;92431.0;95614.09999999999;103464.4;;;;;;;;;;;;;;;;
Продукция животноводства прогноз;;;;;;;;;;;;;;;;90728,6094;94270,1719;98503,3906;104494,6484;111011,4844;117832,5469;125957,8594;134285,1562;140935,4531;146876,0625;;;;;;;;;;
Инвестиции в основной капитал;47027.939999999995;54777.5;67420.93;84471.0;107751.0;160345.0;203657.0;148142.0;153625.0;188506.0;233683.0;266396.0;283545.0;317764.0;355109.26;278591.6;267868.1;322104.2;365900.15499999997;;;;;;;;;;;;;;;;
Инвестиции в основной капитал прогноз;;;;;;;;;;;;;;;;278696,0625;268518,4688;322271,4688;365778,5625;361011,5312;393701,2188;512646,25;596273,0625;471493,875;424259,5625;;;;;;;;;;
Дефлятор ВВП РФ;115.61392620376863;113.780061468852;120.28207692821789;119.30609483586849;115.17004710509624;113.80442067974063;117.95971403731893;101.99372282320176;114.18703858135449;115.91444760020681;109.08593113777675;105.40933847818816;107.50005591384846;108.02944161766655;103.4901711674809;105.20926662397694;107.97190612685141;103.4;104.3;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0
Обменный курс;28.4133285714286;30.6892;28.8063;28.2979;27.17;25.577;24.8553;31.7231;30.3692;29.3874;31.093;31.848;38.4217;60.9579;66.9;59.37498572740384;61.725930664260694;63.92085077007639;72.6;74.7;73.3;74.766;76.26132000000001;77.78654640000002;79.34227732800002;80.92912287456002;82.54770533205122;84.19865943869225;85.8826326274661;87.60028528001541;89.35229098561572;91.13933680532804;92.96212354143461;94.8213660122633;96.71779333250856
ИПЦ РФ;115.1;112.0;111.7;110.9;109.0;111.9;113.3;108.8;108.8;106.1;106.6;106.5;111.4;112.9;105.4;102.51;103.41;104.337;105.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0;104.0
